"index","imdb_id","kaggle_id","title","original_title","tagline","belongs_to_collection","wikipedia_url","imdb_link","runtime","budget","revenue","release_date","popularity","vote_average","vote_count","genres","original_language","overview","spoken_languages","country","production_companies","production_countries","distributor","producers","director","starring","cinematography","editors","writers","composers","based_on"
0,"tt0098987",9548,"The Adventures of Ford Fairlane","The Adventures of Ford Fairlane","Kojak. Columbo. Dirty Harry. Wimps.",NULL,"https://en.wikipedia.org/wiki/The_Adventures_of_Ford_Fairlane","https://www.imdb.com/title/tt0098987/",104,49000000,20423389,"1990-07-11 00:00:00",3.834949,6.2,72,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]","en","Ford ""Mr. Rock n' Roll Detective"" Fairlane is experiencing problems, and it's not with the opposite sex. One of them is that all the rock stars pay him with drum sticks, koala bears, food processors and bicycle shorts. Another one of them is that all his employers that want him to find a girl named Zuzu Petals get killed. Why didn't he become a fisherman's detective instead?","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Silver Pictures', 'id': 1885}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","{""Steve Perry"",""Joel Silver""}","Renny Harlin","{""Andrew Dice Clay"",""Wayne Newton"",""Priscilla Presley"",""Lauren Holly"",""Morris Day"",""Robert Englund"",""Ed O'Neill""}","Oliver Wood","Michael Tronick","{""David Arnott"",""James Cappe""}","{""Cliff Eidelman"",Yello}","{Characters,""by Rex Weiner""}"
1,"tt0098994",25501,"After Dark, My Sweet","After Dark, My Sweet","All they risked was everything.",NULL,"https://en.wikipedia.org/wiki/After_Dark,_My_Sweet","https://www.imdb.com/title/tt0098994/",114,6000000,2700000,"1990-08-24 00:00:00",7.349189,6.5,17,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","en","The intriguing relationship between three desperados, who try to kidnap a wealthy child in hope of turning their lives around.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Avenue Pictures Productions', 'id': 251}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Avenue Pictures","{""Ric Kidney"",""Robert Redlin""}","James Foley","{""Jason Patric"",""Rachel Ward"",""Bruce Dern"",""George Dickerson""}","Mark Plummer","Howard E. Smith","{""James Foley"",""Robert Redlin""}","Maurice Jarre","{""the novel"",""After Dark, My Sweet"",by,""Jim Thompson""}"
2,"tt0099005",11856,"Air America","Air America","The few. The proud. The totally insane.",NULL,"https://en.wikipedia.org/wiki/Air_America_(film)","https://www.imdb.com/title/tt0099005/",112,35000000,33461269,"1990-08-10 00:00:00",10.274376,5.3,146,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","en","Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited into it, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'lo', 'name': ''}]","United States","[{'name': 'IndieProd Company Productions', 'id': 959}, {'name': 'Carolco Pictures', 'id': 14723}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","TriStar Pictures","Daniel Melnick","Roger Spottiswoode","{""Mel Gibson"",""Robert Downey Jr."",""Nancy Travis"",""David Marshall Grant"",""Lane Smith""}","Roger Deakins","{""John Bloom"",""Lois Freeman-Fox""}","{""John Eskow"",""Richard Rush""}","Charles Gross","{""Air America"",by,""Christopher Robbins""}"
3,"tt0099012",8217,"Alice","Alice",NULL,NULL,"https://en.wikipedia.org/wiki/Alice_(1990_film)","https://www.imdb.com/title/tt0099012/",102,12000000,7331647,"1990-12-25 00:00:00",7.196816,6.3,57,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","en","Alice Tate, mother of two, with a marriage of 16 years, finds herself falling for the handsome sax player, Joe. Stricken with a backache, she consults Dr. Yang, an oriental herbalist who realizes that her problems are not related to her back, but in her mind and heart. Dr. Yang's magical herbs give Alice wondrous powers, taking her out of well-established rut.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Orion Pictures', 'id': 41}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Orion Pictures","Robert Greenhut","Woody Allen","{""Alec Baldwin"",""Blythe Danner"",""Judy Davis"",""Mia Farrow"",""William Hurt"",""Keye Luke"",""Joe Mantegna"",""Bernadette Peters""}","Carlo Di Palma","Susan E. Morse","Woody Allen",NULL,NULL
4,"tt0099018",25943,"Almost an Angel","Almost an Angel","Who does he think he is?",NULL,"https://en.wikipedia.org/wiki/Almost_an_Angel","https://www.imdb.com/title/tt0099018/",95,25000000,6939946,"1990-12-21 00:00:00",2.862209,5.6,23,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]","en","Terry Dean is an electronics wizard and thief. After he is released from jail, he is hit by a car while saving a little girl's life. While in the hospital, he dreams that God visits him and tells him he's an Angel, and must start doing good things to make up for his past life. Not believing it at first, he soon becomes convinced he must be an Angel. Not having any Angel powers yet, he must use his own experiences and talents to make good things happen.","[{'iso_639_1': 'en', 'name': 'English'}]","US","[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Pictures","John Cornell","John Cornell","{""Paul Hogan"",""Elias Koteas"",""Linda Kozlowski""}","Russell Boyd","David Stiven","Paul Hogan","Maurice Jarre",NULL
5,"tt0099026",79509,"The Ambulance","The Ambulance","You'll be in perfect health before you die.",NULL,"https://en.wikipedia.org/wiki/The_Ambulance","https://www.imdb.com/title/tt0099026/",91,NULL,NULL,"1989-11-23 00:00:00",1.756955,6,21,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","en","Josh meets a young woman who shortly afterwards collapses and is rushed to hospital in an ambulance. He follows after her only to find that there is no record her being admitted, and he soon learns that her room mate also vanished after being picked up by the same ambulance. Convinced of a conspiracy, Josh proceeds to investigate, despite the discouragement of the police.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Epic Productions', 'id': 1988}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Triumph Releasing Corporation","{""Larry Cohen"",""Moctesuma Esparza"",""Robert Katz""}","Larry Cohen","{""Eric Roberts"",""James Earl Jones"",""Red Buttons"",""Megan Gallagher""}","Jacques Haitkin","{""Claudia Finkle"",""Armond Leibowitz""}","Larry Cohen","Jay Chattaway",NULL
19,"tt0099180",18111,"Bride of Re-Animator","Bride of Re-Animator","Date. Mate. Re-animate.","{'id': 98036, 'name': 'Re-Animator Collection', 'poster_path': '/j1v4JQUVwCDH2KKJGjFeShXp2JT.jpg', 'backdrop_path': '/keGIwkLEaN2iBUPnXvqGbbNOVbq.jpg'}","https://en.wikipedia.org/wiki/Bride_of_Re-Animator","https://www.imdb.com/title/tt0099180/",96,2000000,NULL,"1989-10-01 00:00:00",8.244989,6.1,70,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","en","Herbert West once again revives the dead. This time, he brings Dan's ex-girlfriend's heart back inside a 'perfect' body. Dr. Hill returns as the evil nemesis who lost his head.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Wild Street Pictures', 'id': 4065}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","50th Street Films","Brian Yuzna","Brian Yuzna","{""Jeffrey Combs"",""Bruce Abbott"",""Fabiana Udenio"",""Kathleen Kinmont""}","Rick Fichter","Peter Teschner","{""Rick Fry"",""Woody Keith"",""Brian Yuzna""}","Richard Band","{Characters,by,""H. P. Lovecraft""}"
6,"tt0099028",41326,"American Dream","American Dream","The award-winning film of American lives, American courage, and the...",NULL,"https://en.wikipedia.org/wiki/American_Dream_(film)","https://www.imdb.com/title/tt0099028/",98,NULL,269823,"1990-09-28 00:00:00",0.075885,6,2,"[{'id': 99, 'name': 'Documentary'}]","en","Chronicles the six-month strike at Hormel in Austin, Minnesota, in 1985-86. The local union, P-9 of the Food and Commercial Workers, overwhelmingly rejects a contract offer with a $2/hour wage cut. They strike and hire a New York consultant to manage a national media campaign against Hormel. Despite support from P-9's rank and file, FCWU's international disagrees with the strategy. In addition to union-company tension, there's union-union in-fighting. Hormel holds firm; scabs, replacement workers, brothers on opposite sides, a union coup d'état, and a new contract materialize. The film asks, was it worth it, or was the strike a long-term disaster for organized labor?","[{'iso_639_1': 'en', 'name': 'English'}]","{""United States"",""United Kingdom""}","[]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","Prestige Films","{""Arthur Cohn"",""Barbara Kopple""}","{""Barbara Kopple"",Co-directors:,""Cathy Caplan"",""Thomas Haneke"",""Lawrence Silk""}",NULL,"{""Tom Hurwitz"",""Mathieu Roberts"",""Nesya Shapiro""}","{""Cathy Caplan"",""Thomas Haneke"",""Lawrence Silk""}",NULL,"Michael Small",NULL
7,"tt0101326",25528,"American Ninja 4: The Annihilation","American Ninja 4: The Annihilation",NULL,"{'id': 91945, 'name': 'American Ninja Collection', 'poster_path': '/5cbm8oJR0QlUOxWnSvt3HkcZhb7.jpg', 'backdrop_path': '/znX4o1qtkut4IeprwfEk8uluc4p.jpg'}","https://en.wikipedia.org/wiki/American_Ninja_4:_The_Annihilation","https://www.imdb.com/title/tt0101326/",99,NULL,NULL,"1990-10-30 00:00:00",2.213603,4.8,31,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","en","The two American Ninjas, Joe Armstrong and Sean Davidson, team up to do battle against a terrorist and his band of Ninjas.","[{'iso_639_1': 'en', 'name': 'English'}]","{""United States"",Lesotho}","[{'name': 'Cannon Group', 'id': 1444}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Cannon Group","Ovidio G Assonitis","Cedric Sundstrom","{""Michael Dudikoff"",""David Bradley"",""James Booth"",""Dwayne Alexandre""}",NULL,NULL,"David Geeves",NULL,NULL
8,"tt0099044",11595,"Another 48 Hrs.","Another 48 Hrs.","The boys are back in town.","{'id': 93295, 'name': '48 Hrs. Collection', 'poster_path': '/8Dlcb8aDch6sUcWBc8zSSfNbPgG.jpg', 'backdrop_path': '/hRaxX6WmtukiBvi8ru7RFVQiDYk.jpg'}","https://en.wikipedia.org/wiki/Another_48_Hrs.","https://www.imdb.com/title/tt0099044/",95,38000000,153518974,"1990-06-08 00:00:00",6.938921,5.8,205,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","en","For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.","[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Pictures","{""Lawrence Gordon"",""Robert D. Wachs""}","Walter Hill","{""Eddie Murphy"",""Nick Nolte"",""Brion James"",""Ed O'Ross"",""Andrew Divoff""}","Matthew F. Leonetti","{""Donn Aron"",""Carmel Davies"",""Freeman A. Davies"",""Tim Ryder""}","Fred Braughton","James Horner","{""Characters by"",""Roger Spottiswoode"",""Walter Hill"",""Larry Gross"",""Steven E. de Souza""}"
